 242: 2.845136, 2.836303 avg loss, 0.000003 rate, 5.643000 seconds, 15488 images
 243: 2.670409, 2.819714 avg loss, 0.000003 rate, 5.643000 seconds, 15552 images
 244: 2.181424, 2.755885 avg loss, 0.000004 rate, 5.637000 seconds, 15616 images
 245: 2.843050, 2.764601 avg loss, 0.000004 rate, 5.632000 seconds, 15680 images
 246: 2.282700, 2.716411 avg loss, 0.000004 rate, 5.636000 seconds, 15744 images
 247: 2.344616, 2.679232 avg loss, 0.000004 rate, 5.634000 seconds, 15808 images
 248: 2.398411, 2.651150 avg loss, 0.000004 rate, 5.646000 seconds, 15872 images
 249: 1.762602, 2.562295 avg loss, 0.000004 rate, 5.657000 seconds, 15936 images
 250: 2.274667, 2.533532 avg loss, 0.000004 rate, 5.631000 seconds, 16000 images
 251: 2.636716, 2.543850 avg loss, 0.000004 rate, 4.803000 seconds, 16064 images
 252: 2.488554, 2.538321 avg loss, 0.000004 rate, 4.800000 seconds, 16128 images
 253: 2.230802, 2.507569 avg loss, 0.000004 rate, 4.814000 seconds, 16192 images
 254: 2.616450, 2.518457 avg loss, 0.000004 rate, 4.811000 seconds, 16256 images
 255: 2.655262, 2.532137 avg loss, 0.000004 rate, 4.809000 seconds, 16320 images
 256: 2.250082, 2.503932 avg loss, 0.000004 rate, 4.799000 seconds, 16384 images
 257: 2.489066, 2.502445 avg loss, 0.000004 rate, 4.813000 seconds, 16448 images
 258: 2.199437, 2.472145 avg loss, 0.000004 rate, 4.805000 seconds, 16512 images
 259: 2.487435, 2.473674 avg loss, 0.000004 rate, 4.800000 seconds, 16576 images
 260: 2.576754, 2.483982 avg loss, 0.000005 rate, 4.801000 seconds, 16640 images
 261: 2.221163, 2.457700 avg loss, 0.000005 rate, 10.373000 seconds, 16704 images
 262: 2.357942, 2.447724 avg loss, 0.000005 rate, 10.385000 seconds, 16768 images
 263: 2.335603, 2.436512 avg loss, 0.000005 rate, 10.376000 seconds, 16832 images
 264: 1.761522, 2.369013 avg loss, 0.000005 rate, 10.388000 seconds, 16896 images
 265: 2.341334, 2.366245 avg loss, 0.000005 rate, 10.385000 seconds, 16960 images
 266: 2.271450, 2.356766 avg loss, 0.000005 rate, 10.362000 seconds, 17024 images
 267: 2.348693, 2.355958 avg loss, 0.000005 rate, 10.389000 seconds, 17088 images
 268: 2.775071, 2.397870 avg loss, 0.000005 rate, 10.383000 seconds, 17152 images
 269: 1.842714, 2.342354 avg loss, 0.000005 rate, 10.368000 seconds, 17216 images
 270: 2.692515, 2.377370 avg loss, 0.000005 rate, 10.402000 seconds, 17280 images
 271: 2.621734, 2.401807 avg loss, 0.000005 rate, 4.347000 seconds, 17344 images
 272: 2.123140, 2.373940 avg loss, 0.000005 rate, 4.341000 seconds, 17408 images
 273: 2.256475, 2.362194 avg loss, 0.000006 rate, 4.342000 seconds, 17472 images
 274: 2.554679, 2.381442 avg loss, 0.000006 rate, 4.341000 seconds, 17536 images
 275: 2.573884, 2.400686 avg loss, 0.000006 rate, 4.336000 seconds, 17600 images
 276: 2.477131, 2.408331 avg loss, 0.000006 rate, 4.354000 seconds, 17664 images
 277: 2.791222, 2.446620 avg loss, 0.000006 rate, 4.355000 seconds, 17728 images
 278: 1.756378, 2.377596 avg loss, 0.000006 rate, 4.335000 seconds, 17792 images
 279: 2.016595, 2.341496 avg loss, 0.000006 rate, 4.354000 seconds, 17856 images
 280: 2.291554, 2.336501 avg loss, 0.000006 rate, 4.349000 seconds, 17920 images
 281: 2.308595, 2.333711 avg loss, 0.000006 rate, 7.018000 seconds, 17984 images
 282: 1.878996, 2.288239 avg loss, 0.000006 rate, 6.997000 seconds, 18048 images
 283: 2.272549, 2.286670 avg loss, 0.000006 rate, 7.025000 seconds, 18112 images
